course_name,tee_name,color,rating,slope,hole,par,yards
Example Golf Club,Blue,blue,72.4,130,1,4,400
Example Golf Club,Blue,blue,72.4,130,2,4,400
Example Golf Club,Blue,blue,72.4,130,3,4,400
Example Golf Club,Blue,blue,72.4,130,4,4,400
Example Golf Club,Blue,blue,72.4,130,5,4,400
Example Golf Club,Blue,blue,72.4,130,6,4,400
Example Golf Club,Blue,blue,72.4,130,7,4,400
Example Golf Club,Blue,blue,72.4,130,8,4,400
Example Golf Club,Blue,blue,72.4,130,9,4,400
Example Golf Club,Blue,blue,72.4,130,10,4,400
Example Golf Club,Blue,blue,72.4,130,11,4,400
Example Golf Club,Blue,blue,72.4,130,12,4,400
Example Golf Club,Blue,blue,72.4,130,13,4,400
Example Golf Club,Blue,blue,72.4,130,14,4,400
Example Golf Club,Blue,blue,72.4,130,15,4,400
Example Golf Club,Blue,blue,72.4,130,16,4,400
Example Golf Club,Blue,blue,72.4,130,17,4,400
Example Golf Club,Blue,blue,72.4,130,18,4,400
Example Golf Club,White,white,70.2,120,1,4,350
Example Golf Club,White,white,70.2,120,2,4,350
Example Golf Club,White,white,70.2,120,3,4,350
Example Golf Club,White,white,70.2,120,4,4,350
Example Golf Club,White,white,70.2,120,5,4,350
Example Golf Club,White,white,70.2,120,6,4,350
Example Golf Club,White,white,70.2,120,7,4,350
Example Golf Club,White,white,70.2,120,8,4,350
Example Golf Club,White,white,70.2,120,9,4,350
Example Golf Club,White,white,70.2,120,10,4,350
Example Golf Club,White,white,70.2,120,11,4,350
Example Golf Club,White,white,70.2,120,12,4,350
Example Golf Club,White,white,70.2,120,13,4,350
Example Golf Club,White,white,70.2,120,14,4,350
Example Golf Club,White,white,70.2,120,15,4,350
Example Golf Club,White,white,70.2,120,16,4,350
Example Golf Club,White,white,70.2,120,17,4,350
Example Golf Club,White,white,70.2,120,18,4,350
